Train started: 13:19
F = <module 'torch.nn.functional' from '/home/milkylatte/miniconda3/envs/irobot/lib/python3.8/site-packages/torch/nn/functional.py'>
BATCH_SIZE = 32
GAMMA = 0.99
EPS_START = 1
EPS_END = 0.01
EXP_FRACTION = 0.1
NUMBER_OF_FRAMES = 40000000.0
TARGET_UPDATE = 1000
TRAIN_FREQUENCY = 4
HEIGHT = 84
WIDTH = 84
EPSILON = 0
MEM_SIZE = 250000
LEARNING_STARTS = 10000
SINGLE_EVAL_STEPS = 10000
SCHEDULE_TIMESTEPS = 4000000.0
LEARNING_RATE = 0.0001
PATH = ./deepQ.pt
GIF_PATH = ./game_video/

games,frames,epsilon,score,network_loss,delta_t,frames/t
13:19:34,1,819,1,-21.0,0,0.973416,841.3668976059568
13:19:35,2,1788,1,-21.0,0,1.112309,871.1608015398599
13:19:36,3,2633,1,-21.0,0,0.987608,855.602627763242
13:19:37,4,3618,1,-21.0,0,1.135539,867.429476222305
13:19:38,5,4380,1,-21.0,0,0.873285,872.5673749119703
13:19:39,6,5338,1,-19.0,0,1.102799,868.6986477136812
13:19:41,7,6412,1,-18.0,0,1.250836,858.6257510976658
13:19:42,8,7557,1,-19.0,0,1.323164,865.3500246379134
13:19:43,9,8438,1,-21.0,0,1.014503,868.4055148185861
13:19:44,10,9379,1,-21.0,0,1.085707,866.7163424386138
13:19:46,11,10323,0.999920305,-20.0,0.2679219627083512,2.014643,468.56936936221456
13:19:50,12,11427,0.999647065,-20.0,0.003369020677949437,3.610108,305.8080256878742
13:19:53,13,12348,0.9994191175,-20.0,0.002890496637606386,3.022362,304.72855336323045
13:19:57,14,13607,0.999107515,-18.0,0.0020341420537396703,4.174952,301.5603532687322
13:19:59,15,14425,0.99890506,-21.0,0.001766057017333124,2.637752,310.1125503838117
13:20:02,16,15337,0.99867934,-20.0,0.0016171552112306624,2.982449,305.78896738888074
13:20:06,17,16495,0.998392735,-19.0,0.0011708387252765912,3.995206,289.8473820874318
13:20:09,18,17391,0.998170975,-20.0,0.0011634520037659968,3.11782,287.3802849426843
13:20:12,19,18210,0.9979682725,-21.0,0.0016301851718198144,2.690649,304.3875288081054
13:20:15,20,19178,0.9977286925,-20.0,0.0017380726341858568,3.181524,304.25670213394585
13:20:18,21,19998,0.9975257425,-21.0,0.0015325102474534793,2.773226,295.6845204826437
13:20:22,22,21008,0.9972757675,-19.0,0.001663864757574629,3.375816,299.18692250999464
13:20:24,23,21891,0.997057225,-21.0,0.0017289291818128958,2.900589,304.42092968014424
13:20:27,24,22807,0.996830515,-19.0,0.0018620440038937798,3.033558,301.9556573502138
13:20:31,25,23955,0.996546385,-20.0,0.0014767394953193176,3.840201,298.9426855521365
13:20:34,26,24741,0.99635185,-21.0,0.002240264029058907,2.620701,299.91975429474786
13:20:38,27,25881,0.9960697,-18.0,0.0020287591748535958,3.823265,298.1744660649994
13:20:40,28,26668,0.9958749175,-21.0,0.0023493523853807233,2.639383,298.1757478925946
13:20:44,29,27733,0.99561133,-20.0,0.002134656698738612,3.577409,297.7014928961156
13:20:47,30,28653,0.99538363,-20.0,0.0021975188330068942,3.131864,293.7547735150696
13:20:50,31,29489,0.99517672,-21.0,0.0025581017782149666,2.944799,283.89034361937775
13:20:53,32,30362,0.9949606525,-21.0,0.0023399167909092535,3.023057,288.7805291134107
13:20:56,33,31351,0.994715875,-19.0,0.0022967929385323453,3.353626,294.90467929339763
13:21:00,34,32304,0.9944800075,-19.0,0.002512638655588023,3.260302,292.30420985540604
13:21:04,35,33491,0.994186225,-19.0,0.0021806116882626984,4.078893,291.01033049898587
13:21:06,36,34247,0.993999115,-21.0,0.0026857450824026414,2.561662,295.12090197691964
13:21:10,37,35248,0.9937513675,-20.0,0.0018533202602993696,3.435001,291.411851117365
13:21:13,38,36284,0.9934949575,-20.0,0.0022951274904382908,3.527788,293.6684403938105
13:21:16,39,37042,0.9933073525,-21.0,0.003034572601992343,2.727208,277.9399297743333
13:21:19,40,37827,0.993113065,-21.0,0.0027133279654663056,2.748455,285.61500915969157
13:21:22,41,38847,0.992860615,-20.0,0.0023229638125984837,3.670179,277.9156003017836
13:21:26,42,39832,0.9926168275,-19.0,0.0030797954600936604,3.392736,290.32615564547314
13:21:29,43,40610,0.9924242725,-21.0,0.0029537770479248883,2.741038,283.83408037393133
13:21:32,44,41721,0.9921493,-18.0,0.002614557217528521,3.876873,286.5711618616344
13:21:35,45,42597,0.99193249,-20.0,0.0028729450731585014,3.026603,289.4334010770491
13:21:39,46,43706,0.9916580125,-19.0,0.0033899958073985276,3.830267,289.5359514101758
13:21:42,47,44541,0.99145135,-21.0,0.003134615307408675,2.933804,284.61342339161035
13:21:45,48,45383,0.991242955,-21.0,0.003083585056343249,2.939191,286.4733867244422
13:21:48,49,46332,0.9910080775,-20.0,0.002850532599524418,3.325948,285.3321819824002
13:21:53,50,47545,0.99070786,-18.0,0.0023985741549710695,4.22358,287.19711713759415
13:21:55,51,48304,0.9905200075,-21.0,0.0033230319557275385,2.645111,286.9444798346837
13:21:58,52,49082,0.9903274525,-21.0,0.0022558219632348763,2.8366,274.2720157935557
13:22:01,53,49968,0.9901081675,-21.0,0.002355568634811789,3.187848,277.9304408491246
